id,name,cost mult,build time,income,upkeep,income,downgrade,upgrade,tags,data,image,plugin,desc,order
STELLAR_REFLECTOR_ARRAY,Stellar Reflector Array,50,120,0,100,,,,structure,,graphics/icons/industry/stellar_mirror.jpg,data.campaign.econ.industries.Stellar_Reflector_Array,"An array of orbital reflectors that can rapidly modify surface temperatures. They can do nothing on completely dark worlds, but can improve lighting conditions on worlds with poor but not absent light.",
MILITARY_POLICE_HEADQUARTERS,Military Police Headquarters,20,60,0,10,,,,structure,,graphics/icons/industry/military_police_headquarters.jpg,data.campaign.econ.industries.Military_Police_Headquarters,"Establishes a new paramilitary branch of the security forces with the mission of pacifying the criminal gangs and separatist groups residing on the fringes of civilization. Will eventually bring all the inhabitants of the colony under central government control, including any decivilized subpopulations, if provided with sufficient troops and equipment.",
BOGGLED_CLONING,Cloning,100,180,0,10,,,,industry,,graphics/icons/industry/boggled_cloning.jpg,data.campaign.econ.industries.Cloning,"Clones are grown in vats, their developing minds connected to a virtual reality simulation via brain-machine interface. Clones that are productive and compliant in the simulation are released into general society and the rest are used for organ harvesting. A sufficient supply of salvaged Domain-era hardware is necessary to create the clones and to run the virtual reality simulation.",
WILDLIFE_EXPLOITATION,Wildlife Exploitation,25,45,,3,9,,,industry,,graphics/icons/industry/wildlife_exploitation.jpg,data.campaign.econ.industries.Wildlife_Exploitation,"Jungle worlds feature a biosphere teeming with plant and animal life similar to the conditions on Old Earth hundreds of millions of cycles ago. Extinct species from that era can be recreated using genetic engineering and released into the wild. Tourism and the sale of animals to wealthy buyers generate significant revenue.",
BOGGLED_HYDROPONICS,Hydroponics,75,75,0,4,,,,industry,,graphics/icons/industry/boggled_hydroponics.jpg,data.campaign.econ.industries.Hydroponics,"Since the earliest days of human spaceflight, the practice of growing food in space has been continuously improved and expanded upon. Stations often feature attending swarms of hollow asteroids filled with racks of hydroponic crops tended to by robotic gardeners.",
BOGGLED_SPICE_HARVESTING,Spice Harvesting,25,45,,3,9,,,industry,,graphics/icons/industry/spice_harvesting.jpg,data.campaign.econ.industries.Spice_Harvesting,"Colossal sandworms, known as Shaihuludata gigantica to the xenobiologists who study them, burrow throughout the deserts of this world. A by-product of their life cycle called 'spice melange' has life-extending and consciousness-altering effects on humans who consume it. Spice is highly addictive and difficult to synthesize - these properties result in significant revenue for harvesters.",
BOGGLED_AQUARIUS_PROTOCOL,Aquarius Protocol,70,120,,20,3,,,structure,,graphics/icons/industry/aquarius.jpg,data.campaign.econ.industries.Boggled_Aquarius_Protocol,"All telecommunications arcology-wide are routed through a centralized supercomputing facility known as the Aquarius Hub. This enables an AI core to surveil and censor most communications in real time. Increases stability by suppressing crime, extremism and dissent, and generates substantial revenue through the sale of collected data.",
BOGGLED_PHEROMONE_SPLICER,Pheromone Splicer,160,60,0,16,,,,structure,,graphics/icons/industry/pheromone_splicer.jpg,data.campaign.econ.industries.Boggled_Pheromone_Splicer,"It is well understood how certain chemicals can 'encourage' human reproduction. With the proper facilities, these substances can be mass produced and surreptitiously inserted into the air and water of the arcology, resulting in greatly increased population growth. Inhabitants who discover this scheme often become disillusioned and hostile towards the colony government, reducing stability.",
BOGGLED_SMART_GRID,Smart Grid,150,90,0,24,,,,structure,,graphics/icons/industry/smart_grid.jpg,data.campaign.econ.industries.Boggled_Smart_Grid,"Omnipresent sensors within the arcology can allow an artificial intelligence to identify the needs and desires of inhabitants, and satisfy them expeditiously using hordes of automated servitors. Industrial activities of all kinds become more productive and less hazardous.",
BOGGLED_KRILL_HARVESTING,Krill Harvesting,75,75,0,4,,,,industry,,graphics/icons/industry/krill.jpg,data.campaign.econ.industries.Boggled_Krill_Harvesting,"Arcology residents are told the marginally-edible nutrient blocks are produced by farming genemod krill native to Suddene. Supplies a large amount of food, but reduces stability due to persistent rumors that Suddene Green is, in fact, people.",
